"ajal, heywan, candar", isim, hayvan,
"asîman, ezman", isim, gökyüzü,
"bîbî, met", isim, hala, "Meta min jiyana xwe ji dest da | Halam hayatını kaybetti. (Met)"
"dadger, dadwer", isim, hakim,
"darîkirn, mêrandin", fiil, göstermek,
"daşir, avdestxan",isim,tuvalet,
"gerînende, birêveber",isim,müdür,
"i bi xeter, bi talûke",söz öbeği,tehlikeli,
"ling, pê", isim, ayak,
"mam, ap", isim, amca, "Apê min çûye kar | Amcam işe gitmiş. (Ap)"
"mijûl, tijî",sıfat,"meşgul, dolu",
"pênivîs, pênûs", isim, kalem,
"qeresî, gêlaz", isim, kiraz,
"sef, sinif", isim, sınıf,
"toxim,tov", isim, tohum,
"xemrî, binefşî", isim, mor,
"yê firotinê, xwefiroş",isim,satılık,
"zend, dest", isim, kol,
"zêrfiroş, zêrkar", isim, kuyumcu,
"şerav, mey", isim, şarap,
"şolik, şoqil", isim, bezelye,
aborî, isim, ekonomi,
adar, isim, mart,
agir, isim, ateş,
agirbest,  isim, ateşkes,
agirkuj, isim, itfaiyeci,
ajovan, isim, şoför,
alozî, isim, karışıklık,
amûr, isim, araç,
amûrsazê avê, isim, su tesisatçısı,
anîn, fiil, getirmek,
araq, isim, rakı,
av, isim, su,
ava mêyweyê, isim, meyve suyu,
avahîsaz, isim, mimar,
avis, isim, hamile,
avêtin, fiil, atmak,
awarte, isim, kuraldışı,
ax, isim, toprak,
axaftin, fiil, konuşmak,
azad, isim, özgür,
açer, isim, anahtar (somun),
aştiyar, sıfat, barışçıl,
bacan, isim, patlıcan,
bahoz, isim, fırtına,
baldar, isim, dikkatli,
bandor, isim, etki,
bang, isim, ezan,
baran, isim, yağmur,
bav, isim, baba, "Bavê min ne li malê ye | Babam evde değil. (Bav)"
bazdan, fiil, koşmak,
bazin, isim, bilezik,
bedew, sıfat,"alımlı, hoş",
beher, isim, deniz, eş anlam
bejik, isim, acur,
beq, isim, kurbağa,
ber, edat, ön,
ber, isim, yakın,
beran, isim, koyun,
beraz, isim, domuz,
berbang, isim, (sabah) ezana yakın olan vakit,
berbisk, isim, saç tokası,
berdan, fiil, bırakmak,
bergeş, isim, tepsi,
bermalî, isim, ev hanımı,
bermayî, isim, artık,
bersiv dan, fiil, cevap vermek,
berx, isim, kuzu,
berxwedan, isim, direniş,
berçavk, isim, gözlük,
berçavka roje, isim, güneş gözlüğü,
berêvar, isim, ikindi vakti,
berîk, isim, cep,
beyanî, isim, sabahın ilk saatleri,
beybûn, isim, papatya,
beytar, isim, veteriner,
bi, edat, ile,
biborîn, fiil, affetmek,
bihar, isim,"bahar, ilkbahar",
bihîstin, fiil, duymak,
bijîşk, isim, doktor,
bilind, sıfat, yüksek,
bin, edat, altında,
bingeh, isim, temel,
bira, isim, abi,
birinc, isim, pirinç pilavı,
biryar dan, fiil, karar vermek,
birçîbûn, fiil, acıkmak,
birîn, isim, yara,
birîndar, sıfat, yaralı,
birû, isim, kaş,
birûsk, isim, yıldırım,
bistîn, fiil, almak,
biyan, isim, yabancı,
bizin, isim, keçi,
bişavtin,"isim, fiil","asimilasyon, eritmek",
boyaxvan, isim, boyacı,
bêhempa, sıfat, benzersiz,
bêrezî, sıfat, saygısız,
bêzar, isim,"bitkin, dilsiz",
bîra, isim, bira,
bîranîn, isim, anma,
bîrdozî, isim, i̇deoloji,
bûk, isim, gelin,
bûn, fiil, olmak,
canberî, isim, karides,
catir, isim, kekik,
cejn, isim, bayram,
cerbader, isim, tornavida,
cerr, isim, vidalar,
ciwan, sıfat, genç,
cixare nayê kişandin,söz öbeği,sigara içilmez,
cixare, isim, sigara,
cotkar, isim, çiftçi,
cotmeh, isim, ekim,
cûr, isim,"tür, çeşit",
dad, isim, adalet,
dadgeh, isim, mahkeme,
dadok, isim, dadı,
dan, fiil, vermek,
danîn, fiil, koymak,
dar, isim, ağaç,
dara çira, isim, fener,
daristan, isim, orman,
dartiraş, isim, marangoz,
das, isim, orak,
daxistin, fiil, kapatmak,
daxistin, isim, indirim,
daxwaz kirin, fiil, talep etmek,
dayik, isim, anne, "Dayika min îro nexweş e | Annem bugün hastadır. (Dayik)"
defter, isim, defter,
deh, isim, dokuz,
demanî, sıfat, kiralık,
dendik, isim, çekirdek,
deng, isim, ses,
derdor, isim, çevre,
derman, isim, ilaç,
dermanfiroş, isim, eczacı,
derve, isim, dışarısı,
derya, isim, deniz, eş anlam
derzî, isim, i̇ğne,
derî, isim, kapı,
dest, isim, el,
destgîr, isim, tutsak,
desthilatdarî, isim, egemenlik,
destmal, isim, mendil,
destpêkirin, fiil, başlamak,
dew, isim, ayran,
dewlemend, sıfat, zengin,
di nav, edat, içinde,
di, edat, içinde,
dijwar, sıfat, zor,
dil, isim, kalp,
dilgerm, isim, sıcakkanlı,
dilsoz, sıfat, duygusal,
diran, isim, diş,
diransaz, isim, dişçi,
dirêj, sıfat, uzun,
dirûnker, isim, terzi,
diş, isim, baldız,
dotmam, isim, amca kızı, "Dotmama min hinda bûye | Amca kızım kaybolmuş. (Dotmam)"
du, isim, iki,
dîlan, sıfat, neşeli,
dîlşad, sıfat, mutlu,
dîlşad, sıfat,"mutlu, mesut",
dîtin, fiil, görmek,
dûpişk, isim, akrep,
elektrîkvan, isim, elektrikçi,
em, zamir, biz,
emlaqfiroş, isim, emlakçı,
endazyar, isim, mühendis,
enişk, isim, dirsek,
ew, zamir, o,
ewr, isim, bulut,
eylo, isim, kartal,
ez dixwim, fiil, yiyorum,
ez, zamir, ben,
fasulî, isim, fasülye,
fehmkirin, fiil, anlamak,
feqîr, sıfat, fakir,
fide, isim, şitil,
filiz,"isim, fiil", ajda,
fir, isim, yudum,
firavîn, isim, öğle yemeği,
firax, isim,"eşya,bulaşık",
fireh, isim, geniş,
fireh, sıfat, geniş,
firingî, isim, domates,
fêki, isim, meyve,
fêmkirin, fiil, anlamak,
fêr bûn, fiil, öğrenmek,
fîl, isim, fil,
ga, isim, boğa,
ga, isim, öküz,
garis, isim, mısır,
garson, isim, garson,
gav, isim, adım,
gazin, isim, şikayet,
gelek, isim, çok,
gelêrî, isim, anonim,
gelî, isim, vadi,
genim, isim, buğday,
ger, isim,"gezi,girdap",
gerdanî, isim, kolye, Eş Anlam
germ, isim, sıcak,
germ, sıfat, sıcak,
gerîn, fiil, dolaşmak,
gerîn, fiil, gezmek,
gewr, isim, gri,
giran, sıfat, ağır,
girtin, fiil, tutmak,
girtî,"isim, sıfat", kapalı,
gol, isim, göl,
gore, isim, çorap,
gotin, fiil, söylemek,
govan, isim, şahit,
guh dan, fiil, duymak,
guh, isim, kulak,
guhar, isim, küpe,
guhastin, fiil, taşımak,
guhdayîn, fiil, dinlemek,
gul, isim, gül,
gulan, isim, mayıs,
gulkelem, isim, karnabahar,
gur, isim, kurt,
gustîlk, isim, yüzük,
gêzer, isim, havuç,
gîşe, isim, gişe,
hatin, fiil, gelmek,
havîn, isim, yaz,
heft, isim, yedi,
hejandin, fiil,"kaldırmak (yük, eşya vb.)",
hejmar, isim, sayı,
heman, isim, "aynı, özdeş"
hemper, sıfat, düzenli,
hemşîre, isim, hemşire,
hesibandin, isim, hesapla,
hesin, isim, demir,
hesp, isim, at,
heste, isim, çakmak,
heta, edat, kadar,
hetav, isim, güneş, eş anlam
hev, zamir, birlikte,
heval, isim, arkadaş,
hevling, isim, bacanak,
hewa, isim, hava,
hewş, isim, avlu,
heyam, isim, "dönem, çağ"
heye, isim, var,
hezar, isim, bin,
hezkirin, fiil, sevmek,
hilbijartin, fiil, seçmek,
hilgirtin, fiil, kaldırmak,
hinar, isim, nar,
hogir, isim, dost,
hostes, isim, hostes,
hêdî, sıfat, yavaş,
hêk, isim, yumurta,
hêrs, sıfat, sinirli,
hêrsok, sıfat, sinirli,
hêsan, sıfat, kolay,
hêvî kirin, fiil, umut etmek,
hêzdar, sıfat, güçlü,
hêştir, isim, deve,
hêşînayî, isim, yeşillik,
hîn bûn, fiil, öğrenmek,
hûn, zamir, siz,
incas, isim, siyah erik,
ji, edat, -den,
jimaryar, isim, muhasebeci,
jimaryarî, isim, muhasebe,
jin, isim, kadın,
jintî, isim, elti,
jinxal, isim, dayı eşi, "Jinxala min çû nexweşxanê | Yengem hastaneye gitti. (Jinxal)"
jiyan, isim, hayat,
joji, isim, kirpi,
jor, zarf, yukarı,
jêbir, isim, silgi,
jêr, zarf, aşağı,
kanûn, isim, aralık,
kargeh, isim, dükkan,
karker, isim, işçi,
karmend, isim, memur,
karsaz, isim, iş adamı,
kartol, isim, patates,
karîn, fiil,"-ebilmek",
kek, isim, ağabey,
keleşêr, isim, horoz,
kember, isim, kemer,
kendav, isim, körfez,
kesk, isim, yeşil,
ketin, fiil, düşmek,
kevn, sıfat, eski,
kevnare, isim, antik,
kevçî, isim, kaşık,
kevçîkê çayê, isim, çay kaşığı,
kevî, isim, kıyı,
kevîn, fiil, düşmek,
keç, isim, kız,
kilîtdank, isim, anahtarlık, Eş Anlam
kirin, fiil, yapmak,
kişandin, fiil, çekmek,
kovar, isim, dergi,
kuafor, isim, kuaför,
kulîlk, isim, çiçek,
kulîlkfiroş, isim, çiçekçi,
kundir, isim, kabak,
kursî, isim, sandalye,
kurt, sıfat, kısa,
kêm kirin, fiil, azaltmak,
kêm, isim, eksik,
kûçik, isim, köpek,
lalengî, isim, mandalina,
lazût, isim, mısır,
lehî, isim,sel,
lepik, isim, eldiven,
leq, isim, oynak,
leşker, isim, asker,
li ser, edat, üzerine,
li, edat, -de,
lihevhatin, fiil, anlaşmak,
lê,"bağlaç, edat, zarf", ama,
lêgerîn, isim, arama,
lêkolîn, araştırmak, fiil,
lêkolîner, isim, araştırmacı,
lêv, isim, dudak,
lîmonete, isim, limonata,
malnişîn, isim, emekli, Eş Anlam
malper, isim, i̇nternet sitesi,
mamoste, isim, öğretmen,
mase, isim, masa,
mast, isim, yoğurt,
me, zamir, bizim,
meqes, isim, makas,
merbêr, isim, kürek,
metro, isim, metro,
mezin, sıfat, büyük,
miftedank, isim, anahtarlık, Eş Anlam
mij, isim, sis,
mijar, isim, konu,
mijdar, isim, kasım,
mil, isim, omuz,
min, zamir, benim,
mirin, fiil, ölmek,
mirîşk, isim, tavuk,
mişar, isim, testere,
mişmiş, isim, kayısı, Eş Anlam
morîk, isim, boncuk,
muzîkjen, isim, müzisyen,
mêr, isim, adam, "Mêrên baş zehf kêm in | İyi adamlar çok azdır. (Mêr)"
mêr, isim, erkek,
mêvan, isim, misafir,
mîx, isim, çivi,
mû, isim, kıl,
mûz, isim, muz,
mûze, isim, müze,
mûçîng, isim, pense,
name, isim, mektup,
nan, isim, ekmek,
nav, isim, iç,
navber, isim, ara,
navberî, isim, aracılık,
navenda bajêr,söz öbeği,şehir merkezi,
navgîn, isim, araç, ek anlam
navîn, isim, ortalama,
nayê vexwarin, fiil cümlesi (olumsuz), içilmez,
nebas, sıfat, çirkin,
nebin, fiil, olmamak,
nefret kirin, fiil, nefret etmek,
neh, isim, sekiz,
nekevinê, fiil, girilmez,
nerazî, sıfat, memnun değil,
nerm, isim, yumuşak,
nerm, sıfat, yumuşak,
nevi, isim, torun,
neçar, sıfat, çaresiz,
nivîskar, isim, yazar,
nivîsvan, isim, sekreter,
nivîsîn, fiil, yazmak,
nizm, sıfat,"alçak, yakın",
nok, isim, nohut,
noter, isim, noter,
nêrîn, fiil, bakmak,
nîsan, isim, nisan,
nîv, isim, yarım,
nîvişk, isim, tereyağı,
nîvro, isim, öğlen vakti,
nîz, sıfat,"alçak, yakın",
nû, sıfat, yeni,
nûçegihan, isim, muhabir,
otopark, isim, otopark,
otoxar, isim, otogar,
pace, isim, pencere,
parastin, fiil, korumak,
parêzer, isim, avukat,
payiz, isim, sonbahar,
paş, edat, arka,
paşxistin, fiil, takip etmek,
paşî, zarf, sonra,
pişt re, zarf, sonradan,
paşîv,  isim,  sahur,
pel, isim, yaprak,
pembe, isim, pembe,
penîr, isim, peynir,
peyje, isim, merdiven,
peyman, isim, antlaşma,
pirejimar, isim, çoğul,
pirsgirêk, isim, sorun,
pirsîn, fiil, sormak,
pirtûk, isim, kitap,
pirtûkfiroş, isim, kitapçı,
pismam, isim, amca oğlu, "Pismamê min zehf yekî qenc e | Amcaoğlum çok iyi biridir. (Pismam)"
pisîk, isim, kedi,
piçûk, sıfat, küçük,
pişt, isim, sırt,
polîs, isim, polis,
porr, isim, saç,
porteqal, isim, portakal,
porteqalî, isim, turuncu,
postevan, isim, postacı,
postexane, isim, postahane,
pênçsem, isim, beş,
pêvajo, isim, süreç,
pêşî, isim, ön,
peyv, isim,"kelime, sözcük",
pîr, sıfat, yaşlı,
pûşber, isim, haziran,
qada, isim, küre,
qedandin, fiil, bitirmek,
qehwe, isim, kahve,
qehweya amade, isim, granül kahve,
qehweya tirkî, sıfat tamlaması, Türk kahvesi,
qehweyî,isim,kahverengi,
qehwêş, sıfat, huysuz,
qelem, isim, kalem,
qelew, sıfat, kilolu,
qelew, sıfat, şişman,
qels, sıfat, güçsüz,
qerta qrediyê, isim, kredi kartı,
qir, sıfat, sert,
qola, isim, kola,
qonax, isim, aşama,
qulkirin, fiil, delmek,
qûtiya amûran, isim, araç kutusu,
qûtiya rengê, isim, boya kutusu,
rabûn, fiil, kalkmak,
radestkirin, fiil, teslim etmek,
rakirin, fiil, kaldırmak,
raperîn, isim,  ayaklanma,
rawestin, fiil, durmak,
razî bûn, fiil, razı olmak,
razî, sıfat, memnun,
razîn, fiil, oturmak,
rehet bûn, fiil, rahatlamak,
reje, isim, yüzde,
renî, isim, çığ,
resen, isim, orjinal,
rewş, isim, durum,
rezdar, sıfat, saygılı,
rezerve, isim, rezerve,
reş, isim, siyah,
ristik, isim, kolye, Eş Anlam
riwek, isim, bitki,
ro, isim, gün,
robar, isim, nehir,
roj, isim,"gün, güneş",
rojnamevan, isim, gazeteci,
ronahî, isim, ışık,
ronak, isim, lamba,
rêdan, fiil, yönetmek,
rêketin, fiil, planlamak,
rûpel, isim, sayfa,
rûreş, sıfat,"utanmış, kötü",
rûspî, sıfat, dürüst,
saeta zendê, isim, kol saati,
sar, isim, soğuk,
sar, sıfat, soğuk,
savar, isim, bulgur pilavı,
seat, isim, saat,
sed, isim, yüz (sayı),
sedsal, isim, asır,
ser, edat, üstünde,
ser, isim, baş,
sereke, isim, asıl,
sert, isim, sirt,
serê, edat, üstünde,
sewze, isim, sebzeler,
sibat, isim, şubat,
sifir, isim, sıfır,
silhî, isim, sürahi,
sirûşt, isim, doğa,
sitargeh, isim, barınak,
sivik, sıfat, hafif,
siyele, isim, ıspanak,
sode, isim, soda,
sor,  isim, kırmızı,
soyut, isim, razber,
spî,  isim,  beyaz,
standin, fiil, almak,
stirî, isim, diken,
stran, isim,"şarkı, türkü, müzik",
stêrk, isim, yıldız,
sê, isim, üç,
sênîk, isim, tabak,
sêqozî, isim, üçgen,
sêwaz, isim, tarz,
sîr, isim, sarımsak,
sîwan, isim, şemsiye,
sûlav, isim, şelale,
taştê, isim, kahvaltı,
te, zamir, senin,
tebax, isim, ağustos,
teknisyen, isim, teknisyen,
telefona berîkê, isim, cep telefonu,
televîzyon, isim, televizyon,
teng, sıfat, dar,
tengezar, isim, bunalımlı,
teqawîd,isim, emekli, Eş Anlam
teyar, isim, pilot,
tirî, isim, üzüm,
tonîk, isim, tonik,
tor, isim, ağ,
tu, zamir, sen,
tune, isim, yok,
têgihiştî, isim, anlayışlı,
têketin belaş e, söz öbeği, ücretsiz giriş,
têketin bi pere ye, söz öbeği, ücretli giriş,
têketin qedexe, söz öbeği, yasak giriş,
têketin, söz öbeği, giriş,
têkilî dan, fiil, bağ kurmak,
tîrmeh, isim, temmuz,
tûj, sıfat, acı,
vekirin, fiil, açmak,
vexurkê bialkol, isim grubu, alkollü içki,
vexwarin, fiil, içmek,
vir, isim, yalan,
wan, zamir, onlar,
wan, zamir, onların,
we, zamir, sizin,
welat, isim, ülke,
wergêr, isim, tercüman,
winda bûn, fiil, kaybolmak,
wê, zamir, onun (kadın),
wênekêş, isim, fotoğrafçı,
wî, zamir, onun (erkek),
wîskî, isim, viski,
xal, isim, dayı, "Xalê min birçî bûye = Dayım acıkmış. (Xal)"
xalet, isim, teyze, "Xaleta min fêm nake | Teyzem anlamıyor. (Xalet)"
xalo, isim, dayı,
xalîçe, isim, halı,
xanî, isim, ev,
xebitîn, fiil, çalışmak,
xemgîn, sıfat, üzgün,
xerîb, sıfat, yabancı,
xesûr, isim, kaynana,
xezal, isim, ceylan,
xezûr, isim, kayınbaba,
xilamî, isim, dünür,
xilas bûn, fiil, kurtulmak,
xilas kirin, fiil, kurtarmak,
xirabkirin, fiil, bozmak,
xiyar, isim, salatalık,
xizm, isim, akraba,
xiştek, isim, küp,
xox, isim, şeftali,
xulam, isim,"uşak, köle",
xurinî, isim, kahvaltı öncesi,
xwarin, fiil, yemek yemek,
xwarzî, isim, yeğen,
xwe dîtin, fiil, kendini görmek,
xwecih, isim, yerli,
xwendekirin, fiil, eğitmek,
xwendin, fiil, okumak,
xwerû, sade, saf,
xwestin, fiil, istemek,
xwezda, isim, doğa,
xweş, sıfat, güzel,
xweşik, sıfat, güzel,
xweşî, isim, güzellik,
xwêdan, isim, ter,
xwîşk, isim, kız kardeş,
yek, isim, bir,
yekejimar, isim, tekil,
yekîtîya ewropayê, isim, avrupa birliği,
zagon, isim, kanun,
zanîn, fiil, bilmek,
zarok, isim, çocuk,
zava, isim, damat,
zebeş, isim, karpuz,
zer, isim, sarı,
"zerdelî, mişmiş, qeysî",isim, kayısı,
zevi, isim, tarla,
zeytûn, isim, zeytin,
ziman, isim, dil,
zinar, isim, kaya,
zivistan, isim, kış,
zozan, isim, yayla,
zêde, isim, fazla,
zêdekirin, fiil, artırmak,
zêf, sıfat, zayıf,
zîrek, sıfat, zeki,
çar, isim, dört,
çareserî,  isim, çözüm,
çarqozî, isim, dikdörtgen,
çarçik, isim, kare,
çav, isim, göz,
çay, isim, çay,
çekûç, isim, çekici,
çember, isim, çember,
çentik, isim, el çantası,
çetel, isim, çatal,
çile, isim, ocak,
çiya, isim, dağ,
çong, isim, diz,
çêkirin, fiil, tamir etmek,
"çêlek, mange",isim, inek,
çîçik, isim, civciv,
çûk, isim, kuş,
çûn, fiil, gitmek,
êvar, isim, akşam vakti,
îlon, isim, eylül,
îsot, isim, biber,
û, edat, ve,
ďeresayî, isim, olağanüstü,
şandin, fiil, göndermek,
şe, isim, tarak,
şerger, sıfat, kavgacı,
şerpe, isim, eşarp,
şev, isim, gece vakti,
şewatî, sıfat, hızlı,
şewitandin, fiil, yakmak,
şewitîn, fiil, yanmak,
şewqe, isim, şapka,
şeş, isim, altı,
şik birin, fiil, şüphe etmek,
şik, fiil, vurmak,
şkandin, fiil, kırmak,
şin, isim, mavi,
şiwit, isim, dere otu,
bêr, isim, kürek,
şor, sıfat, tuzlu,
şênber, isim, somut,
şêrîn, sıfat, tatlı,
şêwe,isim,"şekil,form",
şêwekar, isim, ressam,
şîr, isim, süt,
şîv, isim, akşam yemeği,
şûjin, isim, çuvaldız,
şûşe, isim, bardak,
şûştin, fiil, yıkamak,